CustomerID,Gender,Age,State,TenureMonths,ContractType,PaymentMethod,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,CustomerServiceCalls,Churn
55,Male,60,California,6,One Year,Credit Card,Yes,No,DSL,Yes,No,No,No,No,No,Yes,79.63,477.78,1,No
56,Male,58,Texas,8,Month-to-Month,Credit Card,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,Yes,123.71,989.68,3,Yes
57,Female,32,Ohio,23,Two Year,Mailed Check,Yes,No,DSL,No,No,No,Yes,No,Yes,No,91.94,2114.62,1,No
58,Female,40,Illinois,4,Two Year,Bank Transfer,No,No,No,No,No,No,No,No,No,No,20.0,80.0,2,Yes
59,Female,49,Georgia,12,Two Year,Bank Transfer,Yes,No,DSL,No,Yes,No,No,No,Yes,No,92.87,1114.44,1,No
60,Male,59,Texas,15,Month-to-Month,Electronic Check,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,No,105.98,1589.7,1,No
61,Female,37,Georgia,14,One Year,Electronic Check,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,122.47,1714.58,4,Yes
62,Male,42,Ohio,72,Month-to-Month,Mailed Check,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,96.6,6955.2,1,No
63,Male,28,Florida,1,Two Year,Bank Transfer,Yes,No,DSL,No,No,No,No,No,Yes,Yes,89.09,,6,No
64,Female,27,Pennsylvania,72,One Year,Mailed Check,No,No,DSL,Yes,No,Yes,No,No,Yes,Yes,73.58,5297.76,2,Yes
65,Female,57,California,20,Month-to-Month,Mailed Check,Yes,No,No,No,No,No,No,No,No,Yes,28.67,573.4,2,No
66,Female,65,New York,38,One Year,Mailed Check,Yes,Yes,Fiber Optic,No,No,No,No,Yes,Yes,Yes,125.86,4782.68,1,Yes
67,Male,43,North Carolina,13,Month-to-Month,Mailed Check,No,No,DSL,Yes,Yes,No,No,No,No,Yes,63.58,826.54,2,No
68,Female,60,None,14,Month-to-Month,Mailed Check,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,Yes,116.5,1631.0,3,No
69,Male,50,North Carolina,50,Month-to-Month,Mailed Check,Yes,Yes,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,133.24,6662.0,2,No
70,Female,35,Illinois,54,Two Year,Credit Card,Yes,No,No,No,No,No,No,No,No,No,30.77,1661.58,2,No
71,Male,50,Texas,6,Two Year,Bank Transfer,Yes,Yes,Fiber Optic,Yes,No,No,Yes,Yes,No,Yes,127.72,766.32,2,No
72,Male,68,Illinois,5,One Year,Bank Transfer,Yes,Yes,No,No,No,No,No,No,No,No,45.4,227.0,2,Yes
73,Female,44,Pennsylvania,16,Two Year,Bank Transfer,No,No,Fiber Optic,Yes,No,Yes,No,Yes,Yes,No,100.1,1601.6,3,No
74,Female,68,New York,55,Month-to-Month,Bank Transfer,Yes,No,No,No,No,No,No,No,No,No,28.37,1560.35,2,Yes
75,Male,18,California,9,Two Year,Bank Transfer,Yes,No,DSL,Yes,No,No,Yes,No,No,No,99.97,899.73,2,No
76,Male,57,New York,25,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,No,114.57,2864.25,5,Yes
77,Female,46,California,29,One Year,Credit Card,Yes,Yes,No,No,No,No,No,No,No,Yes,48.95,1419.55,3,Yes
78,Male,40,California,36,One Year,Electronic Check,Yes,Yes,No,No,No,No,No,No,No,No,50.25,1809.0,0,Yes
79,Male,46,New York,19,Month-to-Month,Mailed Check,Yes,Yes,DSL,No,No,No,No,Yes,No,No,101.27,1924.13,3,Yes
80,Male,18,Florida,12,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,106.86,1282.32,2,Yes
81,Male,41,Michigan,72,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,No,No,206.75175850140386,8745.12,4,No
82,Female,50,Florida,22,Two Year,Bank Transfer,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Yes,98.75,2172.5,2,No
83,Female,67,Georgia,31,Month-to-Month,Mailed Check,Yes,Yes,DSL,Yes,Yes,No,No,No,Yes,Yes,111.17,3446.27,4,No
84,Female,37,Pennsylvania,10,Month-to-Month,Credit Card,Yes,Yes,DSL,No,No,No,No,No,No,Yes,83.24,832.4,4,No
85,Female,32,Ohio,26,One Year,Electronic Check,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,No,120.3,3127.8,2,No
86,Male,37,Texas,7,Month-to-Month,Electronic Check,Yes,No,DSL,No,No,Yes,Yes,No,No,No,85.43,598.01,1,No
87,Male,58,Michigan,6,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,No,131.74,790.44,0,No
88,Male,49,None,30,One Year,Bank Transfer,Yes,Yes,No,No,No,No,No,No,No,Yes,42.53,1275.9,1,No
89,Male,37,North Carolina,17,Month-to-Month,Credit Card,Yes,No,DSL,No,No,No,Yes,No,Yes,No,90.19,1533.23,1,No
90,Male,52,Florida,27,One Year,Mailed Check,Yes,Yes,Fiber Optic,No,No,Yes,No,No,Yes,Yes,210.1654045931543,3217.32,3,No
91,Female,46,California,7,Month-to-Month,Mailed Check,Yes,No,No,No,No,No,No,No,No,Yes,30.35,212.45,2,Yes
92,Female,59,Ohio,21,Month-to-Month,Credit Card,Yes,No,DSL,Yes,No,No,No,No,Yes,No,91.53,1922.13,1,No
93,Male,34,California,14,One Year,Electronic Check,No,No,DSL,Yes,Yes,No,No,No,No,No,57.0,798.0,1,Yes
94,Female,40,New York,21,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,Yes,No,Yes,No,No,No,No,111.91,2350.11,2,No
95,Female,39,Texas,8,Two Year,Mailed Check,Yes,No,Fiber Optic,Yes,Yes,No,Yes,No,Yes,Yes,132.59,1060.72,0,No
96,Female,23,Illinois,30,Two Year,Electronic Check,Yes,No,Fiber Optic,Yes,No,No,Yes,Yes,Yes,Yes,136.94,4108.2,0,No
97,Female,49,Michigan,39,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,140.16,5466.24,1,Yes
98,Female,48,New York,7,Month-to-Month,Electronic Check,Yes,No,No,No,No,No,No,No,No,No,33.58,235.06,4,Yes
99,Female,45,North Carolina,8,Month-to-Month,Credit Card,Yes,No,DSL,No,No,No,No,Yes,No,Yes,90.34,722.72,0,No
100,Female,41,Pennsylvania,25,Month-to-Month,Bank Transfer,Yes,No,Fiber Optic,No,Yes,No,No,No,No,Yes,100.64,2516.0,1,Yes
101,Female,23,Pennsylvania,28,Month-to-Month,Credit Card,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Yes,97.27,2723.56,4,No
102,Male,38,Michigan,29,Two Year,Mailed Check,Yes,Yes,Fiber Optic,No,Yes,No,No,Yes,No,No,124.85,3620.65,1,No
103,Male,39,North Carolina,27,Month-to-Month,Bank Transfer,Yes,Yes,DSL,No,Yes,No,No,No,No,Yes,92.98,2510.46,3,Yes
104,Female,32,Georgia,11,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,No,No,No,No,No,No,No,100.4,1104.4,1,Yes
105,Male,42,Florida,12,Month-to-Month,Credit Card,Yes,Yes,No,No,No,No,No,No,No,Yes,32.43,389.16,2,No
106,Male,51,Pennsylvania,7,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,No,128.16,897.12,1,Yes
107,Female,73,Texas,4,One Year,Electronic Check,Yes,Yes,DSL,Yes,No,Yes,No,No,No,Yes,105.17,420.68,1,No
108,Male,47,New York,28,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,Yes,No,No,No,No,No,No,124.57,3487.96,2,Yes
109,Female,48,Pennsylvania,2,Month-to-Month,Credit Card,Yes,No,DSL,No,Yes,Yes,No,No,No,Yes,99.25,198.5,1,No
110,Female,43,North Carolina,66,Month-to-Month,Credit Card,Yes,No,Fiber Optic,No,No,No,No,No,No,No,93.4,6164.4,1,No
111,Female,18,North Carolina,42,Two Year,Bank Transfer,Yes,No,Fiber Optic,Yes,No,Yes,No,Yes,No,Yes,124.81,5242.02,3,No
112,Female,44,New York,46,Month-to-Month,Electronic Check,Yes,No,No,No,No,No,No,No,No,No,25.85,1189.1,2,No
113,Male,45,California,56,Two Year,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,105.94,5932.64,1,No
114,Female,80,North Carolina,12,Month-to-Month,Credit Card,Yes,No,Fiber Optic,No,No,No,Yes,No,No,Yes,99.42,1193.04,4,No
115,Female,42,Texas,45,Two Year,Mailed Check,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,92.73,4172.85,1,No
116,Female,49,Illinois,4,One Year,Electronic Check,No,No,Fiber Optic,Yes,No,No,Yes,No,No,No,76.16,304.64,2,Yes
117,Male,44,California,1,Month-to-Month,Credit Card,Yes,Yes,Fiber Optic,No,No,No,No,No,No,Yes,107.1,,2,No
118,Male,27,New York,36,Two Year,Electronic Check,Yes,No,No,No,No,No,No,No,No,Yes,23.15,833.4,2,No
119,Female,62,Michigan,1,One Year,Bank Transfer,Yes,No,No,No,No,No,No,No,No,Yes,45.18,,3,Yes
120,Male,56,California,72,Month-to-Month,Bank Transfer,Yes,No,No,No,No,No,No,No,No,No,37.24,2681.28,2,No
121,Female,56,New York,26,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,Yes,No,Yes,No,Yes,Yes,Yes,150.0,3900.0,2,Yes
122,Male,31,Florida,33,One Year,Electronic Check,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,93.62,3089.46,2,No
123,Male,66,Michigan,6,One Year,Electronic Check,Yes,No,No,No,No,No,No,No,No,Yes,21.9,131.4,1,No
124,Male,23,North Carolina,26,One Year,Bank Transfer,Yes,No,Fiber Optic,Yes,Yes,No,No,Yes,No,Yes,123.37,3207.62,2,Yes
125,Male,53,Texas,1,One Year,Mailed Check,Yes,No,Fiber Optic,No,No,No,Yes,No,Yes,Yes,110.48,,0,No
126,Female,77,California,43,One Year,Electronic Check,Yes,Yes,DSL,No,No,No,Yes,Yes,No,No,116.24,4998.32,3,No
127,Female,30,Illinois,4,One Year,Credit Card,No,No,No,No,No,No,No,No,No,Yes,20.0,80.0,1,Yes
128,Male,36,Florida,28,One Year,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,138.79,3886.12,1,No
129,Female,46,Ohio,6,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,No,No,No,No,No,Yes,No,124.4,746.4,2,Yes
130,Male,37,California,1,Two Year,Electronic Check,Yes,Yes,No,No,No,No,No,No,No,No,45.91,,1,Yes
131,Female,21,California,15,Month-to-Month,Electronic Check,No,No,Fiber Optic,No,No,Yes,No,No,No,Yes,71.14,1067.1,3,Yes
132,Male,46,Ohio,4,Month-to-Month,Credit Card,No,No,Fiber Optic,No,Yes,Yes,Yes,No,No,Yes,95.21,380.84,3,No
133,Female,29,None,31,One Year,Electronic Check,Yes,No,Fiber Optic,No,No,No,Yes,No,No,No,96.61,2994.91,5,Yes
134,Female,52,North Carolina,6,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,Yes,No,No,No,No,Yes,Yes,117.09,702.54,2,Yes
135,Female,31,California,10,Month-to-Month,Credit Card,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,No,119.83,1198.3,2,No
136,Female,68,Texas,20,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,110.4,2208.0,0,No
137,Female,33,Michigan,8,One Year,Mailed Check,Yes,No,Fiber Optic,Yes,No,No,Yes,No,No,Yes,119.79,958.32,2,No
138,None,40,New York,11,Two Year,Credit Card,Yes,No,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,121.71,1338.81,1,No
139,Female,57,Ohio,40,One Year,Bank Transfer,Yes,Yes,No,No,No,No,No,No,No,No,36.83,1473.2,3,No
140,Female,26,Texas,4,Month-to-Month,Electronic Check,Yes,No,DSL,No,Yes,Yes,No,No,No,No,86.11,344.44,3,Yes
141,Female,48,Illinois,2,Month-to-Month,Bank Transfer,Yes,Yes,No,No,No,No,No,No,No,No,39.82,79.64,4,Yes
142,Male,64,Georgia,9,Month-to-Month,Credit Card,Yes,No,Fiber Optic,No,No,No,No,No,Yes,Yes,102.98,926.82,3,Yes
143,Female,20,Florida,13,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,No,No,No,No,Yes,Yes,No,122.11,1587.43,0,Yes
144,Male,47,North Carolina,18,Month-to-Month,Bank Transfer,No,No,DSL,No,No,Yes,No,Yes,Yes,No,75.24,1354.32,2,No
145,Female,48,Illinois,11,Month-to-Month,Credit Card,Yes,No,DSL,No,No,No,Yes,No,No,Yes,87.93,967.23,0,Yes
146,Female,56,New York,37,Month-to-Month,Bank Transfer,No,No,Fiber Optic,No,No,Yes,No,Yes,No,Yes,87.33,3231.21,1,No
147,Female,26,Pennsylvania,1,Month-to-Month,Electronic Check,Yes,No,DSL,Yes,No,No,No,Yes,Yes,Yes,90.67,,2,Yes
148,Male,25,Illinois,13,One Year,Electronic Check,Yes,No,No,No,No,No,No,No,No,Yes,34.5,448.5,2,No
149,Male,52,Texas,11,Two Year,Bank Transfer,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,No,111.1,1222.1,1,No
150,Female,49,New York,25,Two Year,Electronic Check,Yes,Yes,No,No,No,No,No,No,No,Yes,47.56,1189.0,7,No
151,Female,48,Florida,72,One Year,Credit Card,Yes,No,Fiber Optic,Yes,Yes,No,No,No,No,Yes,109.71,7899.12,3,No
152,Male,50,New York,17,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,No,No,No,No,No,No,Yes,103.93,1766.81,1,No
153,Male,34,Georgia,72,One Year,Mailed Check,No,No,DSL,No,Yes,No,No,Yes,No,Yes,64.18,4620.96,5,No
154,Female,48,Pennsylvania,8,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,No,127.92,1023.36,1,Yes
155,Female,49,Michigan,1,One Year,Mailed Check,Yes,Yes,DSL,No,No,No,No,Yes,No,Yes,102.39,,1,Yes
156,Male,34,Florida,4,One Year,Mailed Check,Yes,No,Fiber Optic,No,No,No,No,No,No,Yes,82.55,330.2,3,Yes
157,Male,72,New York,12,One Year,Electronic Check,Yes,No,Fiber Optic,No,Yes,No,Yes,No,No,No,115.42,1385.04,1,Yes
158,Male,52,Georgia,9,Two Year,Bank Transfer,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,145.92,1313.28,2,No
159,Female,27,Pennsylvania,2,One Year,Credit Card,Yes,No,No,No,No,No,No,No,No,Yes,26.54,53.08,2,Yes
160,Male,54,Pennsylvania,13,One Year,Bank Transfer,Yes,Yes,Fiber Optic,No,No,Yes,No,No,No,No,119.1,1548.3,1,No
161,Male,30,California,9,Month-to-Month,Mailed Check,Yes,Yes,DSL,No,No,No,No,Yes,No,Yes,89.56,806.04,2,No
162,Male,56,New York,3,Two Year,Electronic Check,Yes,Yes,DSL,No,No,No,No,No,No,Yes,89.69,269.07,2,Yes
163,Male,62,Florida,8,Month-to-Month,Credit Card,Yes,No,No,No,No,No,No,No,No,Yes,29.21,233.68,3,No
164,Female,32,Michigan,52,Two Year,Credit Card,Yes,No,DSL,No,Yes,No,No,No,No,Yes,79.5,4134.0,3,No
165,Male,59,Florida,8,Month-to-Month,Mailed Check,Yes,No,Fiber Optic,No,No,No,Yes,Yes,No,Yes,100.78,806.24,1,No
166,Male,51,North Carolina,30,Month-to-Month,Bank Transfer,No,No,DSL,No,No,No,No,Yes,No,Yes,56.5,1695.0,1,No
167,Male,57,Ohio,22,Two Year,Mailed Check,Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,No,125.24,2755.28,3,No
168,Male,73,Florida,13,Month-to-Month,Mailed Check,Yes,Yes,Fiber Optic,Yes,No,Yes,Yes,Yes,No,Yes,144.66,1880.58,1,No
169,Male,41,Pennsylvania,6,Two Year,Credit Card,No,No,Fiber Optic,No,No,Yes,No,No,Yes,Yes,77.36,464.16,1,No
170,Female,33,North Carolina,11,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,Yes,Yes,No,Yes,Yes,No,No,150.0,1650.0,2,No
171,Female,31,North Carolina,21,Two Year,Mailed Check,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,No,118.74,2493.54,0,No
172,Female,32,Texas,10,One Year,Electronic Check,Yes,No,DSL,No,No,No,No,No,No,Yes,70.03,700.3,1,No
173,Female,43,Florida,5,One Year,Electronic Check,Yes,No,DSL,No,Yes,No,No,Yes,No,Yes,87.06,435.3,1,Yes
174,Female,50,Florida,2,Month-to-Month,Bank Transfer,Yes,No,Fiber Optic,Yes,No,No,No,No,No,Yes,101.51,203.02,2,Yes
175,Male,49,California,50,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,No,Yes,126.22,6311.0,3,No
176,Female,57,Illinois,13,Two Year,Bank Transfer,Yes,Yes,DSL,No,No,No,No,Yes,No,No,103.58,1346.54,1,No
177,Female,45,North Carolina,23,Month-to-Month,Electronic Check,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,121.01,2783.23,1,Yes
178,Female,66,New York,16,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,Yes,Yes,Yes,No,Yes,No,Yes,143.42,2294.72,4,No
179,Female,41,Georgia,49,One Year,Electronic Check,Yes,No,DSL,No,No,No,Yes,No,No,No,89.72,4396.28,1,No
180,Male,80,Illinois,19,Month-to-Month,Bank Transfer,Yes,Yes,Fiber Optic,No,No,No,No,Yes,No,Yes,117.96,2241.24,2,No
181,Female,54,Florida,15,Month-to-Month,Bank Transfer,Yes,No,Fiber Optic,No,Yes,Yes,No,No,No,No,111.26,1668.9,1,No
182,Female,32,California,62,Month-to-Month,Credit Card,Yes,Yes,DSL,No,No,No,Yes,No,No,Yes,99.83,6189.46,5,Yes
183,Female,28,Ohio,30,Month-to-Month,Credit Card,Yes,Yes,Fiber Optic,No,No,No,Yes,Yes,Yes,Yes,148.06,4441.8,0,No
184,Male,52,North Carolina,2,Two Year,Electronic Check,Yes,Yes,Fiber Optic,Yes,No,No,Yes,No,Yes,Yes,131.19,262.38,5,Yes
185,Male,41,Ohio,4,Month-to-Month,Electronic Check,Yes,No,No,No,No,No,No,No,No,Yes,40.91,163.64,2,Yes
186,Male,55,California,37,Two Year,Bank Transfer,Yes,Yes,Fiber Optic,No,Yes,Yes,No,No,Yes,Yes,136.78,5060.86,1,No
187,Female,52,Texas,43,Month-to-Month,Bank Transfer,Yes,No,DSL,No,No,Yes,Yes,No,Yes,No,103.32,4442.76,1,Yes
188,Male,43,California,18,Month-to-Month,Electronic Check,Yes,Yes,DSL,No,No,No,No,No,No,Yes,85.3,1535.4,2,No
189,Male,32,Illinois,19,One Year,Electronic Check,Yes,Yes,No,No,No,No,No,No,No,Yes,52.49,997.31,5,No
190,Female,22,Georgia,23,Month-to-Month,Bank Transfer,Yes,No,No,No,No,No,No,No,No,Yes,34.79,800.17,0,No
191,Male,38,California,13,One Year,Credit Card,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,No,114.28,1485.64,2,No
192,Female,57,North Carolina,27,Two Year,Credit Card,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Yes,113.37,3060.99,2,No
193,Male,48,Pennsylvania,2,Month-to-Month,Electronic Check,Yes,No,Fiber Optic,No,No,No,No,No,Yes,No,100.79,201.58,2,Yes
194,Female,26,Ohio,72,One Year,Mailed Check,Yes,Yes,Fiber Optic,Yes,No,No,No,No,Yes,Yes,120.31,8662.32,2,No
195,Female,47,Michigan,33,Month-to-Month,Electronic Check,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,106.46,3513.18,3,Yes
